PCAS,T_V,CHEMICAL,Formula,MC_number,Log10P,PrimaryObs,P_LR,P_LR_Value,Log10U,UltimateObs,U_LR,U_LR_Value,E,S,A,B,V_McGowanVolume,logP_Soil,MolecularWeight,No. of Hydrogen Bond Donors,No. of Hydrogen Bond Acceptors,TPSA,No. of Rotatable Bonds,C Ratio,N Ratio,NO Ratio,Hetero Ratio,Halogen Ratio,Number of Rings,Number of Aromatic Rings,Number of Rings (size 3),Number of Rings (size 4),Number of Rings (size 5),Number of Rings (size 6),Dielectric Constant,Parachor,Index of Refraction,Surface Tension,Density,Polarizability,Molar Volume,Molar Refractivity,logSw,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
p0000050180,Training,50180,C7H15Cl2N2O2P,46271,0.550228353,3.55,Days to Weeks,4,0.376576957,2.38,Weeks to Months,2,0.5,2.2,0.14,1.18,1.75,0.79,261.09,1,4,51.38,5,0.5,0.14,0.29,0.36,0.14,1,0,0,0,0,1,,504.9,1.51,44.31,1.33,23.03,195.7,58.09,-0.5160924,2.39E-11,2.41513,4.2272,300.092,51.4676,1.04E-06,8.52269,0.635405,0.152333
p0000050657,Vaildati,50657,C13H8Cl2N2O4,198296,0.536558443,3.44,Days to Weeks,4,0.324282455,2.11,Months,1,2.17,2.67,0.77,0.78,2.06,3.87,327.12,2,6,95.15,3,0.62,0.1,0.29,0.29,0.1,2,2,0,0,0,2,,589.13,1.71,71.67,1.62,31.34,202.48,79.05,-4.8595472,1.38E-11,59.9092,4.71712,343.392,229.95,5.06E-09,9.3347,3.74763,6.23E-05
p0000052686,Training,52686,C4H8Cl3O4P,28923,0.557507202,3.61,Days to Weeks,4,0.356025857,2.27,Weeks to Months,2,0.74,1.05,0.42,1.3,1.48,1.06,257.44,1,4,65.57,4,0.33,0,0.33,0.42,0.25,0,0,0,0,0,0,,427.27,1.49,46.62,1.57,18.61,163.52,46.95,-0.731862,1.95E-11,1.03139,4.13785,290.878,76.9546,1.47E-07,9.23857,0.511388,0.515308
p0000052857,Vaildati,52857,C10H16NO5PS2, ,0.556302501,3.6,Days to Weeks,4,0.390935107,2.46,Weeks to Months,2,1.69,1.88,0,1.75,2.2,2.21,325.34,0,6,115.35,6,0.53,0.05,0.32,0.47,0,1,1,0,0,0,1,,641.92,1.55,50.99,1.35,30.5,240.22,76.93,-1.08418,1.62E-11,1.69003,4.22802,362.971,52.9693,3.70E-07,9.67722,2.23026,0.000309394
p0000056553,Training,56553,C18H12,50970,0.423245874,2.65,Weeks to Mont,2,0.245512668,1.76,Months,1,2.71,1.66,0,0.29,1.82,5.51,228.29,0,0,0,0,1,0,0,0,0,4,4,0,0,0,4,3.25,518.77,1.77,53.54,1.19,31.63,191.78,79.78,-6.9503,2.80E-11,258.361,285.962,436.862,220.498,1.18E-05,9.37103,5.60152,1.38E-08
p0000060128,Training,60128,C8H10O,426252,0.611723308,4.09,Days,5,0.546542663,3.52,Days to Weeks,4,0.78,0.91,0.31,0.4,1.06,2.01,122.16,1,1,20.23,2,0.89,0,0.11,0.11,0,1,1,0,0,0,1,,300.6,1.54,39.7,1.02,14.8,119.76,37.34,-1.839338,4.16E-11,8.09116,4.51853,218.229,-25.4648,2.60E-07,6.11433,1.36075,0.181288
p0000062737,Training,62737,C4H7Cl2,26738,0.593286067,3.92,Days,5,0.428134794,2.68,Weeks to Months,2,0.65,1.01,0,1.3,1.31,0.55,220.98,0,4,54.57,4,0.36,0,0.36,0.45,0.18,0,0,0,0,0,0,,382.68,1.46,38.15,1.44,16.76,153.98,42.29,0.93054,3.61E-11,0.502026,4.1387,234.005,-59.8885,4.06E-09,6.07272,1.42945,0.0490453
p0000066819,Training,66819,C15H23NO4,20185,0.551449998,3.56,Days to Weeks,4,0.44870632,2.81,Weeks,3,1.41,1.81,0.65,1.62,2.21,2.32,281.35,2,5,83.47,3,0.75,0.05,0.25,0.25,0,2,0,0,0,0,2,,622.44,1.5,39.97,1.14,28.81,247.55,72.66,-3.578826,1.76E-11,2.81761,4.71749,299.743,119.121,1.52E-11,9.27993,0.547757,0.0739048
p0000068122,Training,68122,C3H7NO,25356,0.611723308,4.09,Days,5,0.532754379,3.41,Days to Weeks,4,0.35,1.11,0,0.63,0.65,-0.05,73.09,0,2,20.31,0,0.6,0.2,0.4,0.4,0,0,0,0,0,0,0,,186.08,1.4,25.72,0.88,7.87,82.63,19.86,1.1008,1.12E-12,0.797094,7.57424,152.98,-60.3111,7.36E-08,4.14122,-1.01029,13.691
p0000070304,Training,70304,C13H6Cl6O2,29887,0.385606274,2.43,Weeks to Mont,2,0.247973266,1.77,Months,1,2.21,1.78,1.39,0.27,2.32,6.25,406.9,2,2,40.46,2,0.62,0,0.1,0.1,0.29,2,2,0,0,0,2,,663.56,1.67,61.04,1.71,35.16,237.4,88.7,-6.6822786,7.87E-12,118.254,45.2972,478.941,166.506,3.63E-11,9.3527,7.53844,0.0003451
p0000075354,Training,75354,C2H2Cl2, ,0.471291711,2.96,Weeks,3,0.338456494,2.18,Months,1,0.35,0.46,0,0.1,0.59,1.35,96.94,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,,173.79,1.43,23.17,1.22,8.16,79.21,20.58,-1.40727,1.09E-11,12.8512,7.96796,31.7733,-121.873,0.0257407,2.59801,2.13018,0.0237446
p0000077098,Training,77098,C20H14O4,30464,0.544068044,3.5,Days to Weeks,4,0.387389826,2.44,Weeks to Months,2,2.47,2.34,1,1.18,2.3,4.22,318.32,2,4,66.76,2,0.83,0,0.17,0.17,0,4,3,0,0,1,3,,652.37,1.69,65.04,1.39,34.93,229.72,88.11,-6.12616,7.25E-11,29.6681,44.1389,404.143,262.5,1.85E-10,9.43458,2.88965,0.00125778
p0000078579,Training,78579,C6H12N5O2PS2, ,0.544068044,3.5,Days to Weeks,4,0.367355921,2.33,Weeks to Months,2,2.23,1.88,0.45,1.72,1.86,2.15,281.3,4,7,176.37,5,0.38,0.31,0.44,0.63,0,1,1,0,0,0,1,,561.34,1.68,91.1,1.55,27.28,181.7,68.8,-2.024488,1.42E-11,7.27743,140.378,322.027,165.021,3.91E-07,9.40374,0.934892,0.00085144
p0000078591,Vaildati,78591,C9H14O,24881,0.56937391,3.71,Days to Weeks,4,0.447158031,2.8,Weeks,3,0.54,0.76,0,0.45,1.24,2.12,138.21,0,1,17.07,0,0.9,0,0.1,0.1,0,1,0,0,0,0,1,,346.21,1.46,26.46,0.91,16.42,152.64,41.43,-2.47498,7.69E-11,2.01286,3.69868,216.014,-7.78827,3.70E-05,4.32297,1.70616,0.0887907
p0000078875,Training,78875,C3H6Cl2,21237,0.471291711,2.96,Weeks,3,0.369215857,2.34,Weeks to Months,2,0.38,0.47,0,0.13,0.78,1.73,112.99,0,0,0,1,0.6,0,0,0,0.4,0,0,0,0,0,0,,225.78,1.42,24.77,1.12,10.15,101.2,25.6,-2.06007,5.29E-13,7.08405,7.5986,95.4989,-99.53,0.00279293,2.98922,1.98521,0.0245097
p0000080331,Training,80331,C12H8Cl2O3S,25618,0.501059262,3.17,Weeks,3,0.328379603,2.13,Months,1,1.58,2.35,0,0.88,1.91,2.8,303.16,0,3,51.75,3,0.67,0,0.17,0.22,0.11,2,2,0,0,0,2,,551.72,1.61,50.47,1.46,28.41,207,71.68,-3.1422,3.36E-12,158.706,4.96856,352.41,86.3097,0.000305921,8.84314,4.23322,9.81E-06
p0000081049,Vaildati,81049,C10H8O6S2,29588,0.521138084,3.32,Days to Weeks,4,0.431363764,2.7,Weeks to Months,2,1.89,3.19,0.63,1.71,1.76,0.65,288.3,2,6,125.5,2,0.56,0,0.33,0.44,0,2,2,0,0,0,2,,500.08,1.7,76.48,1.7,25.77,169.1,65.01,-0.9462526,3.18E-12,2.74252,11.7144,303.833,153.263,3.94E-07,9.12363,1.83474,0.434945
p0000081776,Training,81776,C28H14N2O4,67739,0.484299839,3.05,Weeks,3,0.301029996,2,Months,1,4.53,3.92,0.18,1.8,3.04,5.69,442.42,2,6,92.34,0,0.82,0.06,0.18,0.18,0,7,4,0,0,0,7,,859.8,1.75,69.86,1.49,47.85,297.4,120.71,-6.198928,1.69E-11,36.9606,244.649,483.798,173.563,2.53E-12,9.73656,4.07811,1.85E-07
p0000083329,Training,83329,C12H10,27657,0.499687083,3.16,Weeks,3,0.342422681,2.2,Months,1,1.53,0.99,0,0.15,1.26,3.68,154.21,0,0,0,0,1,0,0,0,0,3,2,0,0,1,2,3.11,357.29,1.69,49.2,1.14,20.48,134.9,51.66,-4.64275,5.78E-11,755.891,38.9348,278.932,93.2455,0.000184171,6.32789,3.9209,3.66E-05
p0000085223,Vaildati,85223,C8H5Br5,197222,0.374748346,2.37,Weeks to Mont,2,0.158362492,1.44,Recalcitrant,0,2.14,1.48,0,0,1.87,5.7,500.65,0,0,0,1,0.62,0,0,0,0.38,1,1,0,0,0,1,,536.35,1.65,48.56,2.46,29.44,203.17,74.25,-7.94517,1.62E-12,335.351,11.3238,341.125,138.398,0.000870523,8.82765,5.61863,5.93E-10
p0000086293,Training,86293,C14H11N,20884,0.527629901,3.37,Days to Weeks,4,0.361727836,2.3,Weeks to Months,2,1.34,1.64,0,0.41,1.62,3.31,193.24,0,1,23.79,3,0.93,0.07,0.07,0.07,0,2,2,0,0,0,2,,465.07,1.58,45.09,1.08,23.83,179.47,60.12,-4.28428,6.98E-12,210.704,5.9755,315.781,74.1749,8.49E-05,7.43466,2.99987,0.00111939
p0000086306,Vaildati,86306,C12H10N2O,20585,0.555094449,3.59,Days to Weeks,4,0.383815366,2.42,Weeks to Months,2,1.55,2.08,0,0.47,1.54,2.93,198.22,0,3,32.67,3,0.8,0.13,0.2,0.2,0,2,2,0,0,0,2,,467.62,1.58,44.03,1.09,24.03,181.53,60.61,-3.58264,2.09E-12,21.4659,5.73505,312.415,66.5849,9.19E-07,5.96344,3.12968,0.000177316
p0000086500,Training,86500,C10H12N3O3PS2, ,0.586587305,3.86,Days,5,0.350248018,2.24,Months,1,2.28,1.7,0,1.64,2.09,2.95,317.33,0,6,130.69,5,0.53,0.16,0.32,0.47,0,2,1,0,0,0,2,,584.04,1.68,60.96,1.52,31.26,209.02,78.85,-1.84293,1.68E-11,9.26715,95.264,334.654,72.9568,9.96E-08,9.82933,2.74875,7.29E-05
p0000086759,Training,86759,C16H11NO2,23951,0.568201724,3.7,Days to Weeks,4,0.413299764,2.59,Weeks to Months,2,1.98,1.95,0,0.87,1.87,3.45,249.26,0,3,39.19,3,0.84,0.05,0.16,0.16,0,3,3,0,0,0,3,,542.66,1.66,53.99,1.25,29.27,200.19,73.83,-3.7351,1.28E-11,32.5796,3.72812,361.411,118.98,5.84E-09,8.61618,3.98768,0.000186587
p0000088539,Training,88539,C7H8ClNO3S, ,0.498310554,3.15,Weeks,3,0.361727836,2.3,Weeks to Months,2,1.3,2.21,0.6,1.12,1.42,1.09,221.66,3,4,88.77,1,0.54,0.08,0.31,0.38,0.08,1,1,0,0,0,1,,403.63,1.62,63.98,1.55,19.89,142.72,50.17,-0.956734,1.19E-11,5.51229,3.17447,304.463,183.145,4.18E-09,8.12248,-0.884526,0.0627449
p0000088857,Training,88857,C10H12N2O5,222753,0.465382851,2.92,Weeks,3,0.342422681,2.2,Months,1,1.25,1.75,0.28,0.49,1.69,3.17,240.21,1,7,111.87,4,0.59,0.12,0.41,0.41,0,1,1,0,0,0,1,,488.08,1.59,56.37,1.35,23.8,178.13,60.04,-3.9033864,1.06E-11,61.6372,4.56927,332.006,40.6573,6.29E-08,8.75898,3.55916,0.000274628
p0000090437,Training,90437,C12H10O,21548,0.559906625,3.63,Days to Weeks,4,0.488550717,3.08,Weeks,3,1.61,1.37,0.5,0.49,1.38,3.18,170.21,1,1,20.23,1,0.92,0,0.08,0.08,0,2,2,0,0,0,2,,395.65,1.6,44.54,1.11,20.9,153.15,52.73,-3.2073,8.43E-11,48.602,22.4905,286.159,59.0344,7.19E-08,9.19909,3.09101,0.0154132
p0000091021,Training,91021,C12H9NO,40887,0.534026106,3.42,Days to Weeks,4,0.426511261,2.67,Weeks to Months,2,1.41,1.72,0,0.79,1.44,2.17,183.21,0,2,29.96,2,0.86,0.07,0.14,0.14,0,2,2,0,0,0,2,,421.06,1.59,47.05,1.14,21.46,160.77,54.14,-1.96478,2.65E-12,5.32415,4.07846,316.705,42.9364,2.75E-07,7.25457,1.88033,0.000421433
p0000091598,Training,91598,C10H9N, ,0.549003262,3.54,Days to Weeks,4,0.463892989,2.91,Weeks,3,1.58,1.41,0.23,0.49,1.19,2.64,143.19,2,1,26.02,0,0.91,0.09,0.09,0.09,0,2,2,0,0,0,2,,336.94,1.69,51.41,1.14,19.16,125.83,48.33,-2.5293774,1.07E-10,45.1758,22.3616,300.036,112.081,8.18E-08,8.47069,2.28051,0.00133253
p0000092853,Training,92853,C12H8S2,20439,0.509202522,3.23,Weeks,3,0.338456494,2.18,Months,1,2.08,1.37,0,0.41,1.54,4.15,216.32,0,0,50.6,0,0.86,0,0,0.14,0,3,2,0,0,0,3,,457.81,1.72,59.22,1.31,25.97,165.03,65.51,-4.91645,1.23E-11,117.667,281.685,364.888,159.232,6.00E-05,7.87613,4.47071,5.06E-08
p0000093721,Vaildati,93721,C9H7Cl3O3, ,0.451786436,2.83,Weeks,3,0.264817823,1.84,Months,1,1.16,1.5,0.57,0.53,1.64,3.11,269.51,1,3,46.53,3,0.6,0,0.2,0.2,0.2,1,1,0,0,0,1,,470.3,1.57,49.5,1.52,23.15,177.3,58.41,-3.5625802,1.16E-11,3.18299,3.53748,321.868,181.349,1.60E-09,8.59486,3.79814,0.000356901
p0000095647,Vaildati,95647,C8H11N,27099,0.526339277,3.36,Days to Weeks,4,0.437750563,2.74,Weeks to Months,2,0.91,0.97,0.23,0.43,1.1,2.13,121.18,2,1,26.02,0,0.89,0.11,0.11,0.11,0,1,1,0,0,0,1,,308.4,1.56,37.94,0.98,15.91,124.26,40.14,-2.0449918,2.71E-11,8.861,6.53689,225.515,47.8262,1.86E-06,6.47551,1.83916,0.0312898
p0000095727,Training,95727,C8H9Cl,80148,0.489958479,3.09,Weeks,3,0.383815366,2.42,Weeks to Months,2,0.75,0.66,0,0.11,1.12,2.83,140.61,0,0,0,0,0.89,0,0,0,0.11,1,1,0,0,0,1,,318.43,1.52,31.95,1.05,16.17,133.93,40.8,-3.7254,2.83E-12,174.58,11.5166,187.766,-15.6737,0.000961483,4.31782,3.85921,0.000161713
p0000096231,Training,96231,C3H6Cl2O,90982,0.557507202,3.61,Days to Weeks,4,0.482873584,3.04,Weeks,3,0.46,0.72,0.42,0.34,0.83,1.42,128.98,1,1,20.23,2,0.5,0,0.17,0.17,0.33,0,0,0,0,0,0,,242.51,1.46,36.43,1.31,10.76,98.71,27.14,-0.8265436,3.16E-12,7.95214,6.24107,176.013,-3.89612,2.05E-06,4.69968,0.765212,0.774678
p0000098066,Training,98066,C10H14,26557,0.539076099,3.46,Days to Weeks,4,0.418301291,2.62,Weeks to Months,2,0.56,0.58,0,0.16,1.28,2.94,134.22,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2.35,355.31,1.48,26.83,0.86,17.7,156.12,44.64,-4.02234,4.64E-12,295.083,5.50861,169.22,-57.7878,0.00788948,4.45588,4.11138,0.000218213
p0000098828,Training,98828,C9H12,28776,0.565847819,3.68,Days to Weeks,4,0.482873584,3.04,Weeks,3,0.59,0.63,0,0.15,1.14,2.64,120.19,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2.33,322.32,1.49,28.5,0.86,16.03,139.51,40.44,-3.49811,6.54E-12,35.7321,14.9574,152.541,-94.0779,0.0113666,3.99095,3.66274,0.000521787
p0000098975,Training,98975,C5H4N2O2,33146,0.544068044,3.5,Days to Weeks,4,0.450249108,2.82,Weeks,3,0.82,1.2,0.57,0.82,0.85,0.58,124.1,1,4,63.08,1,0.56,0.22,0.44,0.44,0,1,1,0,0,0,1,,257.7,1.58,72.18,1.4,11.64,88.41,29.37,0.3704912,1.26E-11,4.22637,5.3899,296.835,132.017,4.16E-09,5.98912,-0.394633,0.422337
p0000099309,Training,99309,C6H4Cl2N2O2,20218,0.423245874,2.65,Weeks to Mont,2,0.250420002,1.78,Months,1,1.37,1.8,0.28,0.45,1.24,2.32,207.01,2,4,71.84,1,0.5,0.17,0.33,0.33,0.17,1,1,0,0,0,1,,360.33,1.66,63.88,1.62,18.56,127.46,46.82,-2.323032,1.53E-12,15.5603,4.95998,319.571,190.812,3.08E-09,8.46152,2.7987,0.000033186
p0000099661,Training,99661,C8H16O2,113819,0.610660163,4.08,Days,5,0.517195898,3.29,Days to Weeks,4,0.17,0.62,0.57,0.4,1.31,2.16,144.21,1,2,37.3,5,0.8,0,0.2,0.2,0,0,0,0,0,0,0,,369.61,1.44,31.84,0.93,16.11,155.59,40.63,-2.233206,1.14E-11,3.38249,4.49136,222.121,60.7806,8.32E-07,6.00196,2.74758,0.0138269
p0000100425,Training,100425,C8H8,82785,0.568201724,3.7,Days to Weeks,4,0.505149978,3.2,Weeks,3,0.7,0.7,0,0.17,0.96,2.25,104.15,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,2.35,272.24,1.56,30.99,0.9,14.74,115.38,37.18,-2.75216,5.79E-11,13.4833,6.39142,145.077,-30.1466,0.00274507,3.78196,2.94967,0.00210902
p0000101213,Training,101213,C10H12ClNO2,49466,0.610660163,4.08,Days,5,0.471291711,2.96,Weeks,3,1.12,1,0.31,0.73,1.58,2.85,213.66,1,3,41.82,3,0.71,0.07,0.21,0.21,0.07,1,1,0,0,0,1,,444.06,1.53,36.14,1.18,22.04,181.1,55.61,-3.1299406,1.57E-11,32.4158,3.54249,284.138,41.0684,4.40E-09,9.02424,3.50695,0.000436028
p0000101279,Training,101279,C11H9Cl2NO2,49168,0.521138084,3.32,Days to Weeks,4,0.322219295,2.1,Months,1,1.23,1.6,0.44,0.66,1.75,3.1,258.1,1,3,38.33,5,0.69,0.06,0.19,0.19,0.13,1,1,0,0,0,1,,502.5,1.61,54.39,1.39,25.34,185.04,63.92,-3.6858948,1.54E-11,51.9741,3.52337,282.882,75.0894,1.59E-09,9.698,3.00509,4.35E-05
p0000101428,Vaildati,101428,C9H12N2O, ,0.56937391,3.71,Days to Weeks,4,0.457881897,2.87,Weeks,3,1.01,1.48,0.31,0.85,1.35,1.64,164.2,1,3,32.34,1,0.75,0.17,0.25,0.25,0,1,1,0,0,0,1,,376.49,1.58,43.88,1.12,19.38,146.28,48.88,-1.348917,1.73E-11,5.4148,3.81747,309.498,133.536,1.88E-09,9.29205,0.981261,0.0244339
p0000101804,Training,101804,C12H12N2O,26089,0.51054501,3.24,Weeks,3,0.387389826,2.44,Weeks to Months,2,1.81,2.08,0.45,1.03,1.58,2.27,200.24,4,3,61.27,2,0.8,0.13,0.2,0.2,0,2,2,0,0,0,2,,450.07,1.67,55.92,1.22,24.25,164.58,61.17,-2.212567,4.11E-11,33.1845,22.399,350.061,144.107,4.70E-08,8.36212,1.36378,0.00193983
p0000101848,Training,101848,C12H10O,39311,0.536558443,3.44,Days to Weeks,4,0.445604203,2.79,Weeks,3,1.19,1.25,0,0.41,1.38,2.89,170.21,0,1,9.23,2,0.92,0,0.08,0.08,0,2,2,0,0,0,2,,398.4,1.57,38.42,1.06,20.89,160.02,52.7,-3.47749,9.67E-12,316.056,5.87296,258.048,27.1481,8.61E-05,6.11077,4.13044,0.0001328
p0000103297,Training,103297,C14H14,28789,0.56937391,3.71,Days to Weeks,4,0.469822016,2.95,Weeks,3,1.15,1.1,0,0.21,1.61,3.86,182.26,0,0,0,3,1,0,0,0,0,2,2,0,0,0,2,2.63,456.02,1.57,38.6,1,23.9,182.95,60.29,-5.31759,3.56E-11,731.624,16.2943,283.96,49.5046,0.000519635,6.874,4.78799,2.37E-05
p0000103311,Training,103311,C13H11N,29496,0.550228353,3.55,Days to Weeks,4,0.436162647,2.73,Weeks to Months,2,1.35,1.33,0,0.56,1.52,3.03,181.23,0,1,12.89,2,0.93,0.07,0.07,0.07,0,2,2,0,0,0,2,,436.11,1.67,47.79,1.09,24.47,165.86,61.74,-3.49893,3.18E-11,201.926,5.64602,308.326,65.8229,0.000120652,7.05536,2.7517,0.000023361
p0000103333,Training,103333,C12H10N2,22102,0.550228353,3.55,Days to Weeks,4,0.385606274,2.43,Weeks to Months,2,1.38,0.86,0,0.41,1.48,3.6,182.22,0,2,24.72,2,0.86,0.14,0.14,0.14,0,2,2,0,0,0,2,,447.59,1.57,39.87,1.02,23.33,178.13,58.86,-4.36764,3.89E-12,82.3119,6.19384,293.087,68.261,3.84E-05,5.84307,3.81947,3.54E-05
p0000104154,Training,104154,C7H8O3S,22167,0.546542663,3.52,Days to Weeks,4,0.471291711,2.96,Weeks,3,0.89,1.72,0.31,0.88,1.2,0.91,172.2,1,3,62.75,1,0.64,0,0.27,0.36,0,1,1,0,0,0,1,,338.55,1.56,48.2,1.34,16.54,128.49,41.73,-0.3494736,2.32E-12,5.4017,4.97523,291.954,104.323,1.34E-08,7.71324,1.21514,3.59185
p0000106241,Training,106241,C10H18O,29279,0.592176757,3.91,Days,5,0.494154594,3.12,Weeks,3,0.46,0.56,0.31,0.49,1.49,2.72,154.25,1,1,20.23,4,0.91,0,0.09,0.09,0,0,0,0,0,0,0,,413.52,1.47,29.17,0.87,19.71,177.94,49.71,-3.2146978,2.23E-10,7.60944,4.46853,227.422,6.78329,5.61E-07,7.64617,3.55828,0.00150491
p0000106887,Training,106887,C4H8O,44240,0.580924976,3.81,Days,5,0.494154594,3.12,Weeks,3,0.26,0.41,0,0.25,0.62,1.05,72.11,0,1,12.53,1,0.8,0,0.2,0.2,0,1,0,1,0,0,0,,188.82,1.41,28.32,0.88,7.99,81.85,20.16,-0.83937,1.94E-12,3.39264,4.11696,60.118,-100.176,0.000130252,2.67596,1.07032,1.17322
p0000107131,Training,107131,C3H3N,26362,0.575187845,3.76,Days,5,0.514547753,3.27,Days to Weeks,4,0.31,0.78,0,0.26,0.5,0.55,53.06,0,1,23.79,1,0.75,0.25,0.25,0.25,0,0,0,0,0,0,0,,148.81,1.38,25.02,0.8,6.18,66.53,15.59,-0.08348,4.11E-12,4.59952,3.6819,77.4294,-83.397,0.000136709,2.44357,0.249091,1.41385
p0000107197,Training,107197,C3H4O,28804,0.592176757,3.91,Days,5,0.509202522,3.23,Weeks,3,0.46,0.62,0.4,0.37,0.5,0.68,56.06,1,1,20.23,1,0.75,0,0.25,0.25,0,0,0,0,0,0,0,,147.23,1.43,37.93,0.94,6.07,59.33,15.31,0.478364,9.99E-12,3.25974,4.70932,113.624,-51.6998,5.62E-06,3.10047,-0.379439,17.8018
p0000110758,Training,110758,C4H7ClO,28261,0.565847819,3.68,Days to Weeks,4,0.451786436,2.83,Weeks,3,0.29,0.54,0,0.3,0.81,1.32,106.55,0,1,9.23,3,0.67,0,0.17,0.17,0.17,0,0,0,0,0,0,,238.41,1.42,24.28,0.99,10.66,107.4,26.9,-1.31489,2.67E-11,10.3243,4.29229,107.922,-70.0342,0.000075993,3.26663,1.07907,0.00415866
p0000111557,Vaildati,111557,C6H10O4,28853,0.6599162,4.57,Hours to Days,6,0.589949601,3.89,Days,5,0.13,0.98,0,0.7,1.1,0.71,146.14,0,4,52.6,5,0.6,0,0.4,0.4,0,0,0,0,0,0,0,,320.33,1.41,32.13,1.09,13.24,134.54,33.4,-0.27604,2.79E-12,2.39596,3.67877,190.656,-30.3905,0.000011635,3.86892,0.421694,1.19757
