PCAS,T_V,CHEMICAL,Formula,MC_number,Log10P,PrimaryObs,P_LR,P_LR_Value,Log10U,UltimateObs,U_LR,U_LR_Value,E,S,A,B,V_McGowanVolume,logP_Soil,MolecularWeight,No. of Hydrogen Bond Donors,No. of Hydrogen Bond Acceptors,TPSA,No. of Rotatable Bonds,C Ratio,N Ratio,NO Ratio,Hetero Ratio,Halogen Ratio,Number of Rings,Number of Aromatic Rings,Number of Rings (size 3),Number of Rings (size 4),Number of Rings (size 5),Number of Rings (size 6),Dielectric Constant,Parachor,Index of Refraction,Surface Tension,Density,Polarizability,Molar Volume,Molar Refractivity,logSw,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
p0000112312,Vaildati,112312,C10H20O,26087,0.655138435,4.52,Hours to Days,6,0.579783597,3.8,Days,5,0.23,0.76,0,0.34,1.53,2.67,156.27,0,1,17.07,8,0.91,0,0.09,0.09,0,0,0,0,0,0,0,,438.88,1.42,27.92,0.82,19.25,190.92,48.56,-3.78615,2.60E-11,36.4209,4.94056,208.411,-4.68693,0.0017904,5.08066,3.58774,9.83E-05
p0000112629,Training,112629,C19H36O2,426282,0.621176282,4.18,Days,5,0.537819095,3.45,Days to Weeks,4,0.2,0.74,0,0.47,2.82,5.32,296.49,0,2,26.3,16,0.9,0,0.1,0.1,0,0,0,0,0,0,0,,800,1.45,30.92,0.87,36.43,339.26,91.91,-8.36374,5.00E-11,624.257,5.73154,359.699,-19.6363,2.49E-07,9.16112,7.45061,2.61E-07
p0000112958,Training,112958,C20H42,82789,0.607455023,4.05,Days,5,0.521138084,3.32,Days to Weeks,4,-0.03,0.25,0,0.09,2.93,6.42,282.55,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,2.08,827.85,1.44,28.38,0.79,37.54,358.67,94.71,-10.55962,1.96E-11,326.186,25.0423,343.014,36.7741,5.41E-06,8.82492,9.41623,6.75E-09
p0000115775,Vaildati,115775,C5H12O4,28100,0.587710965,3.87,Days,5,0.494154594,3.12,Weeks,3,0.79,1.21,1.25,1.18,1.05,0.38,136.15,4,4,80.92,4,0.56,0,0.44,0.44,0,0,0,0,0,0,0,,293.09,1.53,70.52,1.35,12.42,101.14,31.32,-0.77671,2.96E-11,1.25889,4.73239,317.038,259.653,1.00E-08,7.17628,-1.69111,0.468972
p0000116290,Vaildati,116290,C12H6Cl4O2S, ,0.426511261,2.67,Weeks to Mont,2,0.214843848,1.64,Recalcitrant,0,1.77,2.39,0,0.57,2.09,4.01,356.05,0,2,42.52,2,0.63,0,0.11,0.16,0.21,2,2,0,0,0,2,,605.65,1.62,51.94,1.58,31.55,225.6,79.59,-5.33356,2.42E-12,439.948,8.48073,407.342,146.856,6.85E-06,9.82194,4.60898,2.20E-07
p0000119982,Training,119982,C26H44O2, ,0.482873584,3.04,Weeks,3,0.344392274,2.21,Months,1,0.67,0.72,0.31,0.75,3.67,7.29,394.67,1,2,29.46,12,0.93,0,0.07,0.07,0,2,0,0,0,0,2,,1037.39,1.47,32.44,0.91,48.14,434.68,121.43,-10.8437084,2.34E-11,360.35,7.32512,389.912,35.7346,4.71E-08,10.3849,9.38575,9.61E-06
p0000122145,Training,122145,C9H12NO5PS, ,0.602059991,4,Days,5,0.445604203,2.79,Weeks,3,1.48,1.54,0,1.03,1.86,2.85,277.24,0,6,115.41,5,0.53,0.06,0.35,0.47,0,1,1,0,0,0,1,,549.78,1.57,54.01,1.37,26.39,202.8,66.56,-2.83126,1.60E-11,89.0529,4.30509,353.167,3.51253,9.23E-07,8.86578,3.30116,0.000104593
p0000123308,Training,123308,C6H7NO,21545,0.591064607,3.9,Days,5,0.501059262,3.17,Weeks,3,1.09,1.32,0.73,0.69,0.87,1.13,109.13,3,2,46.25,0,0.75,0.13,0.25,0.25,0,1,1,0,0,0,1,,248.12,1.64,57.4,1.21,12.83,90.14,32.37,-0.2139094,8.13E-11,21.8,5.89068,283.973,186.907,8.88E-08,7.59703,0.043623,0.153591
p0000123331,Vaildati,123331,C4H4N2O2,28823,0.5774918,3.78,Days,5,0.496929648,3.14,Weeks,3,1.1,1.35,1,1.01,0.75,0.24,112.09,2,4,66.24,0,0.5,0.25,0.5,0.5,0,1,1,0,0,0,1,,225.6,1.64,92.52,1.54,10.39,72.74,26.2,0.51696,1.03E-11,3.43126,5.8595,261.835,305.795,8.01E-09,7.45445,-0.83958,0.0464576
p0000124174,Training,124174,C10H20O4,25175,0.596597096,3.95,Days,5,0.471291711,2.96,Weeks,3,0.14,0.91,0,0.81,1.71,1.93,204.26,0,4,44.76,10,0.71,0,0.29,0.29,0,0,0,0,0,0,0,,494.07,1.43,30.75,0.97,21.27,209.81,53.64,-2.30594,1.31E-11,2.53192,3.67813,245.037,-31.922,5.43E-07,5.71834,1.02046,0.180846
p0000124185,Training,124185,C10H22,28781,0.625312451,4.22,Days,5,0.574031268,3.75,Days,5,-0.01,0.21,0,0.05,1.52,3.34,142.28,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1.98,430,1.41,24.33,0.73,19.18,193.6,48.38,-5.15839,1.16E-11,1182.87,8.99194,173.973,-29.5609,0.153501,4.32698,5.01367,3.67E-07
p0000126114,Training,126114,C4H9NO5,22344,0.579783597,3.8,Days,5,0.489958479,3.09,Weeks,3,0.81,1.47,1.06,1.11,1.02,0.27,151.12,3,6,106.51,4,0.4,0.1,0.6,0.6,0,0,0,0,0,0,0,,295.12,1.54,76.14,1.51,12.36,99.91,31.17,-0.1820792,1.25E-11,2.19267,6.7308,295.467,213.918,4.38E-08,7.25717,-1.71689,9.80476
p0000126523,Training,126523,C9H13NO2,31538,0.553883027,3.58,Days to Weeks,4,0.459392488,2.88,Weeks,3,0.96,0.74,0.4,0.75,1.36,2.33,167.21,2,3,53.31,3,0.75,0.08,0.25,0.25,0,1,0,0,0,0,1,,386.39,1.51,39.72,1.09,18.23,153.91,45.97,-2.26052,3.64E-11,2.359,6.41202,239.43,96.0217,5.33E-08,7.71469,-0.194141,0.0150766
p0000126727,Training,126727,C9H15Br6O4P,23240,0.544068044,3.5,Days to Weeks,4,0.301029996,2,Months,1,2.49,2.07,0,1.54,2.87,4.87,697.61,0,4,54.57,12,0.45,0,0.2,0.25,0.3,0,0,0,0,0,0,,826.3,1.59,57.13,2.32,40.48,300.55,102.12,-5.30216,1.75E-11,3.24739,4.22725,406.398,5.55746,0.0119222,11.6895,4.2896,0.000011492
p0000128392,Training,128392,C14H22O,69175,0.488550717,3.08,Weeks,3,0.315970345,2.07,Months,1,0.79,0.68,0.31,0.48,1.9,3.95,206.32,1,1,20.23,2,0.93,0,0.07,0.07,0,1,1,0,0,0,1,,518.36,1.5,30.14,0.93,25.73,221.24,64.91,-5.1201256,1.47E-11,428.882,14.8069,253.107,38.9303,9.52E-06,8.67301,4.92004,1.21E-05
p0000131179,Training,131179,C14H14O4,27667,0.562292864,3.65,Days to Weeks,4,0.484299839,3.05,Weeks,3,0.97,1.51,0,0.89,1.91,2.7,246.26,0,4,52.6,8,0.78,0,0.22,0.22,0,1,1,0,0,0,1,,554.12,1.52,39.21,1.11,26.87,221.43,67.78,-3.13502,5.90E-11,21.4599,4.3175,312.938,14.3908,9.60E-08,7.44522,3.22897,0.000742715
p0000135488,Vaildati,135488,C22H14,110784,0.463892989,2.91,Weeks,3,0.283301229,1.92,Months,1,3.43,1.99,0,0.35,2.19,6.79,278.35,0,0,0,0,1,0,0,0,0,5,5,0,0,0,5,3.37,622.61,1.81,57.7,1.23,38.7,225.9,97.62,-8.63966,3.79E-11,1330.59,361.053,522.306,271.5,9.75E-07,11.6925,7.10712,5.56E-09
p0000149304,Vaildati,149304,C7H5NS2,22041,0.572871602,3.74,Days to Weeks,4,0.432969291,2.71,Weeks to Months,2,1.81,1.34,0,0.46,1.13,2.84,167.25,0,1,79.93,0,0.7,0.1,0.1,0.3,0,2,2,0,0,1,1,,336.91,1.76,64.55,1.41,19.32,118.86,48.75,-2.82193,2.62E-11,7.96072,12.9691,289.391,180.906,8.68E-06,5.72849,2.41807,0.00067306
p0000275514,Training,275514,C10H8,109248,0.521138084,3.32,Days to Weeks,4,0.367355921,2.33,Weeks to Months,2,1.15,0.76,0,0.36,1.09,2.62,128.17,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,2.82,311.11,1.63,40.21,1.04,17.48,123.55,44.1,-2.87079,1.31E-11,85.1911,8.578,217.91,98.6518,0.000387396,5.16869,3.20656,0.000245181
p0000290379,Training,290379,C4H4N2,420221,0.534026106,3.42,Days to Weeks,4,0.440909082,2.76,Weeks,3,0.63,0.82,0,0.5,0.63,0.7,80.09,0,2,25.78,0,0.67,0.33,0.33,0.33,0,1,1,0,0,0,1,,195.57,1.5,44.12,1.06,8.89,75.88,22.44,0.12489,6.36E-12,1.5086,14.7078,115.275,54.798,3.73E-06,3.32759,-0.25876,11.9135
p0000343895,Training,343895,C15H12FNO, ,0.562292864,3.65,Days to Weeks,4,0.328379603,2.13,Months,1,1.9,1.83,0.41,0.74,1.77,3.55,241.26,1,2,29.1,1,0.83,0.06,0.11,0.11,0.06,3,2,0,0,1,2,,497.63,1.65,51.65,1.3,26.98,185.63,68.06,-4.0306908,1.38E-11,29.2189,5.23903,324.877,145.414,1.35E-10,10.8749,4.3712,1.74E-06
p0000463401,Vaildati,463401,C18H30O2,22042,0.639486489,4.36,Hours to Days,6,0.574031268,3.75,Days,5,0.61,0.98,0.57,0.6,2.59,4.91,278.43,1,2,37.3,13,0.9,0,0.1,0.1,0,0,0,0,0,0,0,,731.7,1.49,34.86,0.92,34.56,301.13,87.18,-7.036434,9.75E-11,64.3569,3.54885,357.698,-9.29198,3.33E-08,10.6283,6.46322,8.86E-07
p0000482893,Training,482893,C16H10N2O2,28645,0.456366033,2.86,Weeks,3,0.318063335,2.08,Months,1,2.62,2.25,0.16,1.36,1.86,2.97,262.26,2,4,58.2,0,0.8,0.1,0.2,0.2,0,4,2,0,0,2,2,,522.16,1.71,63.41,1.42,28.63,185.04,72.23,-2.4145612,2.20E-11,6.32275,8.45969,369.793,117.947,1.98E-09,10.8172,3.71775,0.000270608
p0000483498,Training,483498,C17H17N, ,0.447158031,2.8,Weeks,3,0.283301229,1.92,Months,1,1.8,1.33,0,0.69,1.91,4.15,235.32,0,1,3.24,0,0.94,0.06,0.06,0.06,0,4,2,0,0,0,4,,539.52,1.66,51.92,1.17,29.49,200.99,74.38,-4.95472,2.09E-11,177.117,107.503,344.803,85.1661,9.47E-06,8.955,1.87343,0.00017154
p0000492386,Training,492386,C9H8O2,40987,0.592176757,3.91,Days,5,0.505149978,3.2,Weeks,3,0.85,1.08,0.57,0.52,1.17,2.02,148.16,1,2,37.3,2,0.82,0,0.18,0.18,0,1,1,0,0,0,1,,334.16,1.56,43.83,1.14,16.66,129.87,42.02,-1.7244868,3.00E-11,4.02359,4.07668,281.976,106.799,3.90E-08,7.73718,1.87226,0.0087964
p0000494973,Training,494973,C9H12N2, ,0.517195898,3.29,Days to Weeks,4,0.380211242,2.4,Weeks to Months,2,0.99,1.02,0.13,0.85,1.23,1.64,148.21,1,2,24.92,1,0.82,0.18,0.18,0.18,0,2,1,0,0,1,1,,360.52,1.54,41.37,1.04,17.57,142.16,44.33,-1.080911,4.35E-11,4.34674,2.93226,269.997,87.7533,2.23E-07,7.45151,0.172221,0.518087
p0000502443,Training,502443,C6H10O2, ,0.615950052,4.13,Days,5,0.568201724,3.7,Days to Weeks,4,0.35,1.4,0,0.46,0.92,0.7,114.14,0,2,26.3,0,0.75,0,0.25,0.25,0,1,0,0,0,0,0,,266.2,1.44,32.22,1.02,11.66,111.73,29.41,-0.47256,3.75E-12,4.14808,4.97932,214.91,-17.9886,2.86E-08,4.45286,0.30899,0.155961
p0000514103,Training,514103,C20H30O2,45149,0.514547753,3.27,Days to Weeks,4,0.367355921,2.33,Weeks to Months,2,1.04,0.86,0.57,0.65,2.59,5.37,302.45,1,2,37.3,2,0.91,0,0.09,0.09,0,3,0,0,0,0,3,,719.1,1.54,40.78,1.06,35.48,284.55,89.49,-7.444591,9.32E-11,93.0648,93.1767,347.834,172.819,8.26E-07,10.8908,3.91816,0.000159206
p0000521357,Training,521357,C21H26O2,154455,0.574031268,3.75,Days,5,0.387389826,2.44,Weeks to Months,2,1.92,1.33,0.5,0.67,2.6,5.97,310.43,1,2,29.46,4,0.91,0,0.09,0.09,0,3,2,0,0,0,3,,743.04,1.56,41.6,1.06,37.61,292.57,94.88,-7.95326,1.67E-11,543.603,35.6846,350.149,77.2476,1.89E-07,10.6241,6.54714,7.37E-07
p0000528290,Vaildati,528290,C6H4N2O4,80682,0.51851394,3.3,Days to Weeks,4,0.397940009,2.5,Weeks to Months,2,1.1,1.83,0,0.31,1.06,1.85,168.11,0,6,91.64,2,0.5,0.17,0.5,0.5,0,1,1,0,0,0,1,,318.24,1.61,62.65,1.49,15.6,113.12,39.34,-2.08791,5.73E-13,6.90529,6.63981,317.379,118.373,1.04E-07,4.45313,1.69037,0.000794539
p0000541855,Vaildati,541855,C8H16O,120734,0.591064607,3.9,Days,5,0.521138084,3.32,Days to Weeks,4,0.21,0.69,0,0.35,1.25,2.03,128.21,0,1,17.07,5,0.89,0,0.11,0.11,0,0,0,0,0,0,0,,355.5,1.41,25.82,0.81,15.52,157.71,39.14,-2.6613,1.37E-11,9.62135,4.60393,161.8,-32.4457,0.000135382,3.95162,2.41492,0.0227232
p0000547819,Training,547819,C18H24O3,46646,0.525044807,3.35,Days to Weeks,4,0.409933123,2.57,Weeks to Months,2,2.06,2.55,1.04,1.26,2.26,3.38,288.38,3,3,60.69,0,0.86,0,0.14,0.14,0,4,1,0,0,1,3,,622.13,1.62,53.88,1.26,32.15,229.62,81.1,-5.4057748,1.67E-11,24.2414,97.6736,382.037,281.859,5.17E-09,9.24784,2.45182,0.000128835
p0000550823,Training,550823,C12H7NO4,30438,0.558708571,3.62,Days to Weeks,4,0.365487985,2.32,Weeks to Months,2,1.86,2.11,0.5,1.13,1.51,1.94,229.19,1,5,75.28,0,0.71,0.06,0.29,0.29,0,3,1,0,0,0,3,,429.29,1.74,75.34,1.57,23.31,145.71,58.8,-1.76959,1.02E-11,12.4744,,341.821,180.105,4.76E-09,9.7953,1.80874,0.00371919
p0000551882,Training,551882,C5H11NO2, ,0.564666064,3.67,Days to Weeks,4,0.469822016,2.95,Weeks,3,0.23,0.71,0,0.28,0.99,1.58,117.15,0,3,45.82,3,0.63,0.13,0.38,0.38,0,0,0,0,0,0,0,,287.01,1.42,28.49,0.94,12.37,124.22,31.19,-1.926,2.07E-12,6.65596,3.67278,157.887,49.7933,2.13E-05,3.16869,1.70581,0.129068
p0000557619,Training,557619,C28H58O,30770,0.574031268,3.75,Days,5,0.484299839,3.05,Weeks,3,0.16,0.56,0.31,0.39,4.11,8.56,410.76,1,1,20.23,26,0.97,0,0.03,0.03,0,0,0,0,0,0,0,,1162.85,1.46,32.18,0.84,52.85,488.23,133.3,-13.6790158,1.67E-11,125.275,125.21,419.895,83.1988,5.63E-08,10.2962,9.06898,1.05E-07
p0000578858,Training,578858,C10H8O7S2,28627,0.561101384,3.64,Days to Weeks,4,0.462397998,2.9,Weeks,3,2.1,3.38,1.12,1.93,1.82,0.52,304.3,3,7,145.73,2,0.53,0,0.37,0.47,0,2,2,0,0,0,2,,515.3,1.73,89.5,1.82,26.38,167.53,66.54,-2.9005592,2.58E-12,2.26705,8.27901,319.937,172.095,3.79E-09,9.24646,1.94912,0.0769284
p0000584690,Vaildati,584690,C12H14O2S2, ,0.555094449,3.59,Days to Weeks,4,0.459392488,2.88,Weeks,3,1.71,1.88,0,0.99,1.92,3.09,254.37,0,2,84.74,6,0.75,0,0.13,0.25,0,1,1,0,0,0,1,,558.52,1.59,46.88,1.19,28.37,213.45,71.57,-3.20878,1.15E-11,24.4646,6.34276,338.214,74.6369,3.04E-07,8.73023,3.01277,7.81E-05
p0000586390,Training,586390,C8H7NO2,86550,0.506505032,3.21,Weeks,3,0.411619706,2.58,Weeks to Months,2,0.97,1.27,0,0.27,1.13,2.33,149.15,0,3,45.82,2,0.73,0.09,0.27,0.27,0,1,1,0,0,0,1,,327.72,1.6,44.03,1.17,17.33,127.22,43.72,-2.83776,1.95E-11,42.7181,3.55266,248.817,-9.9871,1.05E-05,4.43928,2.35594,0.00218783
p0000590669,Training,590669,C8H16,94156,0.514547753,3.27,Days to Weeks,4,0.432969291,2.71,Weeks to Months,2,0.19,0.22,0,0.06,1.13,2.64,112.21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2.28,323.3,1.42,24.8,0.77,14.66,144.87,36.99,-3.75417,9.74E-12,453.989,3.97475,120.655,-41.8019,0.143645,3.47645,4.38576,3.98E-05
p0000599042,Training,599042,C6H10O3, ,0.609594409,4.07,Days,5,0.482873584,3.04,Weeks,3,0.47,1.38,0.17,0.8,0.98,0.34,130.14,1,3,46.53,0,0.67,0,0.33,0.33,0,1,0,0,0,1,0,,277.44,1.47,38.12,1.17,12.33,111.66,31.09,0.504568,1.04E-11,4.44916,4.28878,211.774,91.8788,6.69E-09,5.68987,0.0355054,2.47907
p0000601898,Training,601898,C6H5NO4,21542,0.546542663,3.52,Days to Weeks,4,0.434568904,2.72,Weeks to Months,2,1.13,1.36,0.48,0.53,1.01,1.72,155.11,2,5,86.28,1,0.55,0.09,0.45,0.45,0,1,1,0,0,0,1,,292.78,1.67,79.23,1.58,14.49,98.13,36.56,-1.1633428,1.89E-12,7.16659,4.87254,250.69,82.2173,2.32E-07,7.59451,1.56095,0.00843271
p0000615587,Training,615587,C6H4Br2O,25723,0.503790683,3.19,Weeks,3,0.372912003,2.36,Weeks to Months,2,1.34,1.1,0.5,0.23,1.13,3.01,251.9,1,1,20.23,0,0.67,0,0.11,0.11,0.22,1,1,0,0,0,1,,323.28,1.64,52.27,2.1,17.25,120.23,43.51,-2.81246,7.31E-12,30.4372,8.75139,238.597,38.2043,2.31E-07,7.71451,3.22186,0.0174128
p0000622402,Training,622402,C6H13NO2,21946,0.534026106,3.42,Days to Weeks,4,0.431363764,2.7,Weeks to Months,2,0.66,0.82,0.23,1.09,1.06,0.57,131.17,1,3,32.7,2,0.67,0.11,0.33,0.33,0,1,0,0,0,0,1,,304.38,1.47,36.73,1.06,13.67,123.64,34.48,0.5365666,2.71E-11,2.4039,3.67623,226.864,-1.51987,2.92E-09,5.87044,0.119138,8.26101
p0000630193,Vaildati,630193,C5H10O,42043,0.574031268,3.75,Days,5,0.418301291,2.62,Weeks to Months,2,0.22,0.67,0,0.36,0.83,1.08,86.13,0,1,17.07,1,0.83,0,0.17,0.17,0,0,0,0,0,0,0,,235.05,1.38,22.08,0.79,10.06,108.44,25.37,-0.96984,2.65E-11,5.30823,7.5381,77.7529,5.08093,0.000124984,2.81374,1.04489,0.473218
p0000637070,Training,637070,C12H15ClO3,99389,0.568201724,3.7,Days to Weeks,4,0.390935107,2.46,Weeks to Months,2,0.81,1.25,0,0.69,1.82,2.91,242.7,0,3,35.53,5,0.75,0,0.19,0.19,0.06,1,1,0,0,0,1,,518.56,1.51,36.17,1.15,24.87,211.45,62.73,-3.66361,1.38E-11,62.0828,4.66023,290.125,55.9046,1.31E-07,7.25653,3.45564,0.000189665
p0000698635,Training,698635,C5H3NO4,25574,0.568201724,3.7,Days to Weeks,4,0.447158031,2.8,Weeks,3,0.87,1.63,0,0.54,0.87,0.83,141.08,0,5,76.03,2,0.5,0.1,0.5,0.5,0,1,1,0,0,1,0,,261.8,1.58,55.92,1.47,12.63,95.74,31.85,-0.27892,1.73E-11,7.99802,4.454,227.922,35.5618,8.16E-07,3.96681,1.00952,0.0131819
p0000709988,Training,709988,C9H9Cl2NO,51312,0.557507202,3.61,Days to Weeks,4,0.309630167,2.04,Months,1,1.21,0.97,0.31,0.47,1.5,3.31,218.08,1,2,32.59,2,0.69,0.08,0.15,0.15,0.15,1,1,0,0,0,1,,422.64,1.56,39.44,1.29,21.56,168.66,54.39,-3.7553734,1.30E-11,69.1099,3.51639,350.888,92.1743,1.84E-09,9.10379,3.07062,0.000715564
p0000767102,Training,767102,C8H17N, ,0.584331224,3.84,Days,5,0.447158031,2.8,Weeks,3,0.38,0.47,0,0.52,1.23,1.99,127.23,0,1,3.24,3,0.89,0.11,0.11,0.11,0,1,0,0,0,1,0,,347.16,1.45,28.41,0.85,16.1,150.36,40.61,-2.2014,1.74E-11,11.8478,3.90273,154.394,-21.2101,7.42E-05,4.51942,1.92273,0.00905352
p0000840802,Training,840802,C13H11N3O2,53761,0.572871602,3.74,Days to Weeks,4,0.408239965,2.56,Weeks to Months,2,1.93,2.24,0.75,1.46,1.8,1.97,241.25,2,5,74.58,3,0.72,0.17,0.28,0.28,0,2,2,0,0,0,2,,517.3,1.62,50.98,1.25,27.05,193.59,68.22,-2.73719,1.26E-11,17.5303,3.33651,320.6,215.593,3.03E-10,10.0094,1.64342,0.000792238
p0000872504,Training,872504,C5H9NO,24594,0.567026366,3.69,Days to Weeks,4,0.494154594,3.12,Weeks,3,0.61,0.96,0,0.74,0.82,0.52,99.13,0,2,20.31,0,0.71,0.14,0.29,0.29,0,1,0,0,0,1,0,,232.11,1.47,33.79,1.03,10.64,96.27,26.85,0.5125,8.64E-12,1.76637,4.60985,201.97,-23.8728,3.23E-09,3.83866,-0.458463,10.0212
p0001003618,Training,1003618,C4H4N2OS, ,0.568201724,3.7,Days to Weeks,4,0.418301291,2.62,Weeks to Months,2,1.2,1.69,0.23,0.8,0.86,0.65,128.15,2,3,84.22,1,0.5,0.25,0.38,0.5,0,1,1,0,0,1,0,,255.47,1.71,77.57,1.49,13.37,86.08,33.72,0.457802,3.30E-11,4.60431,3.10511,260.939,120.159,1.23E-07,7.49774,0.326429,0.0474299
p0001077163,Vaildati,1077163,C12H18,106141,0.591064607,3.9,Days,5,0.525044807,3.35,Days to Weeks,4,0.57,0.66,0,0.13,1.56,3.6,162.27,0,0,0,5,1,0,0,0,0,1,1,0,0,0,1,2.3,443.01,1.49,30.65,0.86,21.54,188.28,54.33,-5.2142,1.69E-11,1612.53,3.5255,225.943,-60.2241,0.0123436,5.76757,5.51957,5.90E-06
p0001116763,Training,1116763,C24H51N,31034,0.550228353,3.55,Days to Weeks,4,0.451786436,2.83,Weeks,3,0.14,0.45,0,0.59,3.59,6.99,353.67,0,1,3.24,21,0.96,0.04,0.04,0.04,0,0,0,0,0,0,0,,1012.67,1.45,30.21,0.82,46.37,431.95,116.96,-11.08852,9.24E-12,85.2237,25.4146,365.983,-12.3982,9.56E-07,10.4549,5.50045,1.41E-07
p0001134232,Training,1134232,C11H21NOS, ,0.544068044,3.5,Days to Weeks,4,0.390935107,2.46,Weeks to Months,2,0.88,1.31,0,0.8,1.83,2.75,215.36,0,2,45.61,4,0.79,0.07,0.14,0.21,0,1,0,0,0,0,1,,522.92,1.51,38.42,1.03,24.94,210.04,62.92,-3.26132,3.54E-11,44.9829,2.66993,253.16,11.7077,1.71E-07,7.53275,3.92367,0.000385323
p0001231749,Training,1231749,C19H26O3,135721,0.550228353,3.55,Days to Weeks,4,0.371067862,2.35,Weeks to Months,2,1.12,1.14,0,0.74,2.46,4.7,302.41,0,3,35.53,3,0.86,0,0.14,0.14,0,3,1,0,0,0,3,,698.33,1.52,37.06,1.07,34.25,283.02,86.39,-6.39944,1.72E-11,342.299,12.6971,351.212,59.2616,1.87E-08,9.72375,4.93041,3.52E-06
p0001429501,Vaildati,1429501,C6H20N2O12P4, ,0.484299839,3.05,Weeks,3,0.359835482,2.29,Weeks to Months,2,2.54,2.9,2.5,5.43,2.68,-3.43,436.12,8,14,275.84,11,0.25,0.08,0.58,0.75,0,0,0,0,0,0,0,,744.51,1.62,134.26,1.99,30.55,218.72,77.06,-27.68823,1.82E-11,3.07054,4.07583,391.534,219.662,1.56E-11,9.57649,-3.63058,0.358963
p0001510163,Training,1510163,C12H26O3S, ,0.619093331,4.16,Days,5,0.527629901,3.37,Days to Weeks,4,0.27,1.36,0.31,0.83,2.14,2.74,250.4,1,3,62.75,11,0.75,0,0.19,0.25,0,0,0,0,0,0,0,,609.49,1.47,38.2,1.02,26.94,245.15,67.96,-3.9121226,1.40E-11,13.0517,5.6579,291.203,20.9331,5.50E-08,9.22115,3.11881,0.00143229
p0001634044,Training,1634044,C5H12O, ,0.5132176,3.26,Days to Weeks,4,0.371067862,2.35,Weeks to Months,2,0.03,0.27,0,0.29,0.87,1.38,88.15,0,1,9.23,1,0.83,0,0.17,0.17,0,0,0,0,0,0,0,,245.84,1.38,19.18,0.75,10.67,117.48,26.92,-1.54362,2.97E-12,1.52541,7.56698,55.2738,-108.409,0.000593561,2.68458,0.942109,0.570401
